A,B
payment_type,payment_lookup
Cas,Cash
CAS,Cash
Cre,Credit
CRE,Credit
No ,No Charge
Dis,Dispute
Cash,Cash
CASH,Cash
Credit,Credit
CREDIT,Credit
No Charge,No Charge
Dispute,Dispute
CRD,Credit
CSH,Cash
NOC,No Charge
DIS,Dispute
UNK,Unknown
1,Foo
2,Foo
3,Foo
4,Foo
5,Foo
6,Foo
7,Foo
8,Foo
9,Foo
10,Foo
11,Foo
12,Foo
13,Foo
14,Foo
15,Foo
16,Foo
17,Foo
18,Foo
19,Foo
20,Foo
21,Foo
22,Foo
23,Foo
24,Foo
25,Foo
26,Foo
27,Foo
28,Foo
29,Foo
30,Foo
31,Foo
32,Foo
33,Foo
34,Foo
35,Foo
36,Foo
37,Foo
38,Foo
39,Foo
40,Foo
41,Foo
42,Foo
43,Foo
44,Foo
45,Foo
46,Foo
47,Foo
48,Foo
49,Foo
50,Foo
51,Foo
52,Foo
53,Foo
54,Foo
55,Foo
56,Foo
57,Foo
58,Foo
59,Foo
60,Foo
61,Foo
62,Foo
63,Foo
64,Foo
65,Foo
66,Foo
67,Foo
68,Foo
69,Foo
70,Foo
71,Foo
72,Foo
73,Foo
74,Foo
75,Foo
76,Foo
77,Foo
78,Foo
79,Foo
80,Foo
81,Foo
82,Foo
83,Foo
84,Foo
85,Foo
86,Foo
87,Foo
88,Foo
89,Foo
90,Foo
91,Foo
92,Foo
93,Foo
94,Foo
95,Foo
96,Foo
97,Foo
98,Foo
99,Foo
100,Foo
101,Foo
102,Foo
103,Foo
104,Foo
105,Foo
106,Foo
107,Foo
108,Foo
109,Foo
110,Foo
111,Foo
112,Foo
113,Foo
114,Foo
115,Foo
116,Foo
117,Foo
118,Foo
119,Foo
120,Foo
121,Foo
122,Foo
123,Foo
124,Foo
125,Foo
126,Foo
127,Foo
128,Foo
129,Foo
130,Foo
131,Foo
132,Foo
133,Foo
134,Foo
135,Foo
136,Foo
137,Foo
138,Foo
139,Foo
140,Foo
141,Foo
142,Foo
143,Foo
144,Foo
145,Foo
146,Foo
147,Foo
148,Foo
149,Foo
150,Foo
151,Foo
152,Foo
153,Foo
154,Foo
155,Foo
156,Foo
157,Foo
158,Foo
159,Foo
160,Foo
161,Foo
162,Foo
163,Foo
164,Foo
165,Foo
166,Foo
167,Foo
168,Foo
169,Foo
170,Foo
171,Foo
172,Foo
173,Foo
174,Foo
175,Foo
176,Foo
177,Foo
178,Foo
179,Foo
180,Foo
181,Foo
182,Foo
183,Foo
184,Foo
185,Foo
186,Foo
187,Foo
188,Foo
189,Foo
190,Foo
191,Foo
192,Foo
193,Foo
194,Foo
195,Foo
196,Foo
197,Foo
198,Foo
199,Foo
200,Foo
201,Foo
202,Foo
203,Foo
204,Foo
205,Foo
206,Foo
207,Foo
208,Foo
209,Foo
210,Foo
211,Foo
212,Foo
213,Foo
214,Foo
215,Foo
216,Foo
217,Foo
218,Foo
219,Foo
220,Foo
221,Foo
222,Foo
223,Foo
224,Foo
225,Foo
226,Foo
227,Foo
228,Foo
